IncidentID	Date	Location	Attack type	Weapon	Total killed	Israelis killed	Palestinians killed	Others killed	Total wounded	Israelis wounded	Palestinians wounded	Others wounded	Total casualties	Claimed by	Attributed to	Description	Context	Target type
0	16/04/93	West Bank	Suicide attack	Bomb	2	0	2	0	9	8	1	0	11	Hamas/Qassam Brigades		"Van parked between two buses, one civilian, one military, at Moshad Mehola roadside cafeteria. Referred to as the ""first apparent suicide car-bomb attempt inside the territories.""(0) Used cooking gas canisters.

# killed includes bomber himself"	"Peace talks and Intifiada, Palestinian requests to slow peace process: ""With the ninth round due to start in Washington on Tuesday, senior members of the Palestinian team called for a short postponement... to win more concessions from Israel.""(1) Militant Palestinians particularly opposed.(1)"	Mixed
1	21/11/92	Israel	Non-suicide attack	Bomb	0	0	0	0	0	0	0	0	0	IQB w/ al-Aqsa Martyrs Brigade	Hamas/QB + al-Aqsa Martyrs	3 attackers drove a VW with cooking gas canisters to Tel Aviv. They failed to stop at a checkpoint and were followed/stopped by police/civil guard in Tel Aviv suburb Ramat Efal. Police detonated bomb safely, 2 perps arrested, 1 escaped.(2)	Peace talks, 1st Intifada	Civilian
2	07/12/92	Gaza Strip	Non-suicide attack	Gun	3	3	0	0	0	0	0	0	3	Hamas/Qassam Brigades		3 soldiers in a Jeep shot by gunmen. Also retaliatory (and exactly proportional): 3 Hamas activists killed week before, see description and source.	"""the attack commemorated the intifada anniversary, the founding of Hamas on December 14, 1987, and the deaths of three Hamas activists killed by soldiers last week."""	Military
3	13/12/92	Israel	Kidnapping/Hostage-taking	Other/NA	1	1	0	0	0	0	0	0	1	Hamas/Qassam Brigades		A border police officer (Sgt-Maj Nissim Toledano) in Lod was kidnapped. Hamas members gave his ID card to Red Crescent workers in al-Bira near Ramallah with a letter demanding Sheikh Yassin's release. Found dead Dec 15.	"Sheikh Yassin was serving life in prison on terrorism charges. This is still right around the anniversary of the founding of Hamas.

Resulted in deportation to southern Lebanon of over 400 Hamas activists. (7) One author in J-Post argues this was an intentional ""overreaction"" to strengthen deterrence and prevent escalation. Not clear that this was the govt's view as well. (7)"	Govt
4	18/09/92	Gaza Strip	Non-suicide attack	Knife	0	0	0	0	1	1	0	0	1	Hamas/Qassam Brigades		"""A hitchhiking soldier was attacked by Palestinians dressed as Orthodox Jews... The terrorists took Alon Karavani's M-16 rifle and uniform before stabbing him and leaving him for dead. He was found by a local shepherd and rushed to the hospital."""	First Intifada	Military
5	03/01/93	Israel	Non-suicide attack	Other/NA	1	1	0	0	0	0	0	0	1		Hamas/Qassam Brigades	"""A police spokesman said Haim Nahmani, an agent for the domestic Shin Beth intelligence service, was stabbed and beaten with a hammer in a home in West Jerusalem while he was on assignment. ...police knew the identity of the killer and were hunting for the suspect. He refused to elaborate.""
--To my knowledge, never claimed by Hamas."	"""Housing Minister Binyamin Ben Eliezer blamed the murder on HAMAS, the Islamic Resistance Movement... 'They no longer act only in the (occupied) territories but also in Israel, which should lead us to consider new measures to take.' ""

Background: expulsion of 415 Hamas activists to S. Lebanon (415 # from this source)"	Govt
6	31/01/93	Gaza Strip	Non-suicide attack	Gun	2	2	0	0	1	1	0	0	3		Hamas/Qassam Brigades	"""Two Hamas gunmen hid in bushes waiting to open fire on an army predawn patrol. Two soldiers were killed, a third was wounded."""	Just over a month after mass deportation to s. Lebanon of Hamas activists (400+), continuing peace process.	Military
7	12/02/93	Gaza Strip	Non-suicide attack	Gun	0	0	0	0	2	2	0	0	2	Hamas/Qassam Brigades	Hamas/Qassam Brigades	"""two Israeli soldiers were shot and wounded... in Gaza City."""	"""...was carried out in revenge for the army's destruction of several Palestinian homes with anti-tank rockets, HAMAS said in a communique issued in Amman."""	Military
8	12/05/93	West Bank	Non-suicide attack	Knife	0	0	0	0	2	2	0	0	2	Hamas/Qassam Brigades		"A Hamas ""commando"" attacked the soldiers with knives, stole their weapons, and returned safely. Hamas says 3 WERE STABBED (one seriously wounded), Israeli military contends only 2 were attacked. I have gone with the conservative estimate as it is 100% that at least 2 were stabbed. This will be my standard procedure with uncertainty."	"""HAMAS said the attack was to avenge the killing of six of its militants by Israeli soldiers in the Gaza Strip."""	Military
9	01/07/93	West Bank	Kidnapping/Hostage-taking	Gun	4	2	2	0	3	1	2	0	7	Hamas/Qassam Brigades		3 Militants opened fire on a bus. 1 Israeli woman, the driver, and a Palestinian man later reported to be a Hamas activist wounded (woman died next day, see source 16). 2 of them then comandeered an Israeli woman's car w/ her in it -- all 3 then killed in gunfire. Last gunman was wounded and taken into custody. Not clear if injured Hamas passenger on bus was actually involved or only coincidence.(16) Also planted bombs on bus and nearby, these defused by police.(16) Later reported by Hamas as failed hostage-taking.(17)	"Wanted to ""hold the passengers hostage to demand the release of 100 Palestinian prisoners, including 50 HAMAS member and Sheikh Abdel Karim Obeid, a Hezbollah leader kidnapped by Israeli commandos in 1989."""	Civilian
10	06/07/93	West Bank	Non-suicide attack	Gun	3	2	1	0	1	0	1	0	3	Hamas/Qassam Brigades	Hamas/Qassam Brigades	Near Beir Ballut (Deir Balout). 3 attackers from the Qassam Brigades opened fire on Israeli soldiers. 2 were killed. A 3rd soldier returned fire, killing one QB member. A 2nd attacker was caught, the 3rd escaped in a car.	"Continuing Middle East Peace talks (even mentioned in article, with Deputy Defense Minister Motta Gur stating ""We are going to witness a wave of attacks against civilians and soldiers in the territories as the peace process advances."")"	Military
11	05/08/93	West Bank	Kidnapping/Hostage-taking	Gun	1	1	0	0	0	0	0	0	1	Hamas/Qassam Brigades		"Kidnapped corporal Yaron Chen ""with the intent of bargaining for the release of jailed Hamas lead Sheikh Ahmed Yassin. However... the manhunt that followed the kidnapping and the resistance put up by Chen spoiled their plan."""	Sheikh Yassin still in prison	Military
14	06/08/93	West Bank	Non-suicide attack	Gun	3	2	1	0	1	0	1	0	4	Hamas/Qassam Brigades		"""Two Palestinian gunmen piled out of a car at an army outpost near the village of Deir Balout Friday morning and opened fire, killing the two soldiers.

A third soldier returned fire, killing one gunman - a Hamas member on Israel's wanted list - and wounding another, who escaped."""	Ongoing peace process	Military
15	11/08/93	Gaza Strip	Non-suicide attack	Other/NA	0	0	0	0	1	1	0	0	1		Hamas/Qassam Brigades	"Militant threw grenade at IDF patrol. One soldier ""very lightly injured."" Treated on spot, returned to patrol. The militant, said to be ""Husam Shalhub, a senior Hamas activist from Nablus,"" apparently fled to Egypt."		Military
16	03/09/93	West Bank	Non-suicide attack	Other/NA	0	0	0	0	0	0	0	0	0		Hamas/Qassam Brigades	"""Assailants... lobbed a grenade that did not explode at a house occupied by Israeli settlers in the new Jewish quarter of Hebron."""	Israeli settlement of Palestinian area. Draft autonomy accord between Israel and PLO, which Hamas opposes.	Civilian
